nivel,tipo,curso,semestre,matriculados
Doutorado,Acadêmico,Administração,2010-1,0
Doutorado,Acadêmico,Administração,2010-2,0
Doutorado,Acadêmico,Administração,2011-1,0
Doutorado,Acadêmico,Administração,2011-2,0
Doutorado,Acadêmico,Administração,2012-1,0
Doutorado,Acadêmico,Administração,2012-2,0
Doutorado,Acadêmico,Administração,2013-1,0
Doutorado,Acadêmico,Administração,2013-2,0
Doutorado,Acadêmico,Administração,2014-1,0
Doutorado,Acadêmico,Administração,2014-2,0
Doutorado,Acadêmico,Administração,2015-1,0
Doutorado,Acadêmico,Administração,2015-2,0
Doutorado,Acadêmico,Administração,2016-1,6
Doutorado,Acadêmico,Administração,2016-2,0
Doutorado,Acadêmico,Administração,2017-1,8
Doutorado,Acadêmico,Administração,2017-2,0
Doutorado,Acadêmico,Administração,2018-1,7
Doutorado,Acadêmico,Administração,2018-2,0
Doutorado,Acadêmico,Administração,2019-1,8
Doutorado,Acadêmico,Administração,2019-2,0
Doutorado,Acadêmico,Administração,2020-1,6
Doutorado,Acadêmico,Administração,2020-2,0
Doutorado,Acadêmico,Administração,2021-1,8
Doutorado,Acadêmico,Administração,2021-2,5
Doutorado,Acadêmico,Administração,2022-1,6
Doutorado,Acadêmico,Administração,2022-2,5
Doutorado,Acadêmico,Administração,2023-1,3
Doutorado,Acadêmico,Administração,2023-2,0
Doutorado,Acadêmico,Administração,2024-1,8
Doutorado,Acadêmico,Agroquímica,2010-1,6
Doutorado,Acadêmico,Agroquímica,2010-2,5
Doutorado,Acadêmico,Agroquímica,2011-1,8
Doutorado,Acadêmico,Agroquímica,2011-2,9
Doutorado,Acadêmico,Agroquímica,2012-1,7
Doutorado,Acadêmico,Agroquímica,2012-2,6
Doutorado,Acadêmico,Agroquímica,2013-1,13
Doutorado,Acadêmico,Agroquímica,2013-2,8
Doutorado,Acadêmico,Agroquímica,2014-1,9
Doutorado,Acadêmico,Agroquímica,2014-2,3
Doutorado,Acadêmico,Agroquímica,2015-1,16
Doutorado,Acadêmico,Agroquímica,2015-2,7
Doutorado,Acadêmico,Agroquímica,2016-1,7
Doutorado,Acadêmico,Agroquímica,2016-2,4
Doutorado,Acadêmico,Agroquímica,2017-1,6
Doutorado,Acadêmico,Agroquímica,2017-2,8
Doutorado,Acadêmico,Agroquímica,2018-1,6
Doutorado,Acadêmico,Agroquímica,2018-2,7
Doutorado,Acadêmico,Agroquímica,2019-1,6
Doutorado,Acadêmico,Agroquímica,2019-2,8
Doutorado,Acadêmico,Agroquímica,2020-1,4
Doutorado,Acadêmico,Agroquímica,2020-2,1
Doutorado,Acadêmico,Agroquímica,2021-1,5
Doutorado,Acadêmico,Agroquímica,2021-2,4
Doutorado,Acadêmico,Agroquímica,2022-1,6
Doutorado,Acadêmico,Agroquímica,2022-2,3
Doutorado,Acadêmico,Agroquímica,2023-1,5
Doutorado,Acadêmico,Agroquímica,2023-2,6
Doutorado,Acadêmico,Agroquímica,2024-1,3
Doutorado,Acadêmico,Arquitetura e Urbanismo,2010-1,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2010-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2011-1,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2011-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2012-1,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2012-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2013-1,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2013-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2014-1,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2014-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2015-1,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2015-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2016-1,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2016-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2017-1,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2017-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2018-1,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2018-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2019-1,10
Doutorado,Acadêmico,Arquitetura e Urbanismo,2019-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2020-1,10
Doutorado,Acadêmico,Arquitetura e Urbanismo,2020-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2021-1,7
Doutorado,Acadêmico,Arquitetura e Urbanismo,2021-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2022-1,3
Doutorado,Acadêmico,Arquitetura e Urbanismo,2022-2,1
Doutorado,Acadêmico,Arquitetura e Urbanismo,2023-1,7
Doutorado,Acadêmico,Arquitetura e Urbanismo,2023-2,0
Doutorado,Acadêmico,Arquitetura e Urbanismo,2024-1,3
Doutorado,Acadêmico,Biologia Animal,2010-1,0
Doutorado,Acadêmico,Biologia Animal,2010-2,0
Doutorado,Acadêmico,Biologia Animal,2011-1,0
Doutorado,Acadêmico,Biologia Animal,2011-2,0
Doutorado,Acadêmico,Biologia Animal,2012-1,0
Doutorado,Acadêmico,Biologia Animal,2012-2,0
Doutorado,Acadêmico,Biologia Animal,2013-1,0
Doutorado,Acadêmico,Biologia Animal,2013-2,0
Doutorado,Acadêmico,Biologia Animal,2014-1,0
Doutorado,Acadêmico,Biologia Animal,2014-2,0
Doutorado,Acadêmico,Biologia Animal,2015-1,0
Doutorado,Acadêmico,Biologia Animal,2015-2,0
Doutorado,Acadêmico,Biologia Animal,2016-1,0
Doutorado,Acadêmico,Biologia Animal,2016-2,0
Doutorado,Acadêmico,Biologia Animal,2017-1,0
Doutorado,Acadêmico,Biologia Animal,2017-2,0
Doutorado,Acadêmico,Biologia Animal,2018-1,0
Doutorado,Acadêmico,Biologia Animal,2018-2,0
Doutorado,Acadêmico,Biologia Animal,2019-1,5
Doutorado,Acadêmico,Biologia Animal,2019-2,0
Doutorado,Acadêmico,Biologia Animal,2020-1,5
Doutorado,Acadêmico,Biologia Animal,2020-2,0
Doutorado,Acadêmico,Biologia Animal,2021-1,5
Doutorado,Acadêmico,Biologia Animal,2021-2,0
Doutorado,Acadêmico,Biologia Animal,2022-1,1
Doutorado,Acadêmico,Biologia Animal,2022-2,2
Doutorado,Acadêmico,Biologia Animal,2023-1,5
Doutorado,Acadêmico,Biologia Animal,2023-2,1
Doutorado,Acadêmico,Biologia Animal,2024-1,4
Doutorado,Acadêmico,Biologia Celular e Estrutural,2010-1,7
Doutorado,Acadêmico,Biologia Celular e Estrutural,2010-2,5
Doutorado,Acadêmico,Biologia Celular e Estrutural,2011-1,2
Doutorado,Acadêmico,Biologia Celular e Estrutural,2011-2,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2012-1,7
Doutorado,Acadêmico,Biologia Celular e Estrutural,2012-2,4
Doutorado,Acadêmico,Biologia Celular e Estrutural,2013-1,8
Doutorado,Acadêmico,Biologia Celular e Estrutural,2013-2,8
Doutorado,Acadêmico,Biologia Celular e Estrutural,2014-1,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2014-2,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2015-1,8
Doutorado,Acadêmico,Biologia Celular e Estrutural,2015-2,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2016-1,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2016-2,5
Doutorado,Acadêmico,Biologia Celular e Estrutural,2017-1,7
Doutorado,Acadêmico,Biologia Celular e Estrutural,2017-2,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2018-1,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2018-2,4
Doutorado,Acadêmico,Biologia Celular e Estrutural,2019-1,7
Doutorado,Acadêmico,Biologia Celular e Estrutural,2019-2,2
Doutorado,Acadêmico,Biologia Celular e Estrutural,2020-1,5
Doutorado,Acadêmico,Biologia Celular e Estrutural,2020-2,0
Doutorado,Acadêmico,Biologia Celular e Estrutural,2021-1,7
Doutorado,Acadêmico,Biologia Celular e Estrutural,2021-2,1
Doutorado,Acadêmico,Biologia Celular e Estrutural,2022-1,4
Doutorado,Acadêmico,Biologia Celular e Estrutural,2022-2,4
Doutorado,Acadêmico,Biologia Celular e Estrutural,2023-1,3
